ID,fraud_flag
7012,0
14698,0
48689,0
53751,0
76351,0
60171,0
20358,0
55694,0
51557,0
31115,0
52902,0
19702,0
12173,0
66296,0
61793,0
10800,0
62985,0
28986,0
13097,0
33420,0
22124,0
6528,0
26789,0
17954,0
74457,0
30930,0
52771,0
29108,0
37558,0
7149,0
33274,0
27341,0
70834,0
59988,0
20193,0
74211,0
47765,0
62413,0
33162,0
75854,0
61756,0
47428,0
2703,0
40920,0
44001,0
12768,0
49842,0
65217,0
47992,0
4897,0
44107,0
28587,0
22490,0
43177,0
1576,0
250,0
41289,0
62386,0
49671,0
32439,0
21723,0
7443,0
55880,0
44528,0
50352,0
4779,0
75307,0
16078,0
628,0
61477,0
61699,0
23259,0
55435,0
52377,0
2523,0
33818,0
43294,0
9152,0
65667,0
43409,0
42467,0
66169,0
9668,0
1186,0
26750,0
48502,0
7583,0
24455,0
33283,0
25946,0
76283,0
12820,0
1252,0
75432,0
22502,0
61507,0
33551,0
30344,0
36030,0
54719,1
43352,0
19485,0
74701,0
20570,0
12863,0
34691,0
55454,0
11981,0
42404,0
6803,0
62773,0
13014,0
10828,0
67556,0
56832,0
33970,0
46811,0
28570,0
37338,0
67792,0
37032,0
64083,0
40944,0
24649,0
23684,0
1467,0
16194,0
34675,0
36769,0
8429,0
42328,0
16596,0
61166,0
69906,0
51927,0
29097,0
29864,0
39200,0
59859,0
76411,0
63903,0
41649,0
12199,1
6721,0
70382,0
541,0
9787,0
39351,0
69174,0
34553,0
56566,0
9264,0
57680,0
52948,0
43781,0
6347,0
13826,0
34160,0
26481,0
43798,0
71057,0
13629,0
21732,0
70581,0
39773,0
8109,0
25744,0
51770,0
56205,0
59548,0
62828,0
48682,0
76390,0
74228,0
8748,0
8514,0
52639,0
67783,0
51079,0
27632,0
42326,0
64897,0
62856,0
9438,0
44608,0
63645,0
53364,0
68579,0
17854,0
65822,0
6510,0
52409,0
74140,0
6197,0
1820,0
38772,0
45196,0
42399,0
8081,0
53558,0
48022,0
34060,0
19837,0
6439,0
27648,0
40249,0
35992,0
60098,0
21931,0
41846,0
42845,0
75323,0
56226,0
24506,0
24003,0
70936,0
52556,0
30298,0
12143,0
35845,0
36634,0
50770,0
290,0
4950,0
43481,0
34383,0
62127,0
5663,0
51566,0
30912,0
66522,0
13811,0
34809,0
60793,0
71339,0
16398,0
38111,0
74429,0
60118,0
64988,0
71899,0
53040,0
41763,0
71425,0
10495,0
42731,1
53846,0
1217,0
52796,0
2793,0
45205,0
21276,0
27830,0
72646,0
37298,0
11444,0
423,0
31201,0
62636,0
50654,0
40905,0
38133,0
43109,0
29382,0
28933,0
60931,0
39899,0
68584,0
69364,0
58697,0
68597,0
4166,0
37022,0
41732,0
38904,0
73109,0
73485,0
38075,0
8987,0
75335,0
5854,0
75891,0
67245,0
36969,0
40050,0
41293,0
69150,0
71361,0
27107,0
4876,0
40583,0
10378,0
74455,0
11648,0
9999,0
71492,0
6251,0
10373,0
65410,0
26462,0
71447,0
7836,0
30915,0
43613,0
68422,0
17684,0
42913,0
20046,0
54222,0
1346,0
10578,0
2029,0
9830,0
7549,0
13441,0
49361,0
5720,0
15302,0
30608,0
73428,0
29120,0
14704,0
66718,0
64856,0
13769,0
711,0
7883,0
2195,0
34073,0
62485,0
45866,0
62902,0
68277,0
28207,0
56655,0
16573,0
44268,0
24361,0
68654,0
72431,0
55062,0
15119,0
36849,0
52083,0
73783,0
26514,0
37330,0
71717,0
17329,0
39532,0
6181,0
37279,0
39603,0
32116,0
73803,0
73843,0
16628,0
17363,0
55795,0
30389,0
9488,0
28600,0
69679,0
38523,0
1458,0
59220,0
35549,0
44594,0
12667,0
57301,0
52322,0
5765,0
57821,0
22090,0
9076,0
47472,0
76074,0
23907,0
35804,0
46218,0
6556,0
901,0
64387,0
58051,0
75709,0
73552,0
60327,0
11777,0
72783,0
56270,0
7258,0
3800,0
13781,0
45062,0
45124,0
60326,0
42524,0
25443,0
74597,0
30193,0
11699,0
64233,0
43621,0
1100,0
23863,0
10442,0
68030,0
52761,0
56769,0
24813,0
29833,0
16878,0
22030,0
24647,0
35198,0
59679,0
31349,0
30649,0
30563,0
15123,0
72313,0
31671,0
24321,0
21609,0
46494,0
1528,0
8533,0
61818,0
76075,0
33372,0
16180,0
54627,0
51601,0
15521,0
53511,0
68966,0
35381,0
15056,0
11934,0
8524,0
44345,0
5534,0
6687,0
46468,0
69687,0
66490,1
74313,0
24474,0
62111,0
49976,0
41021,0
21827,1
55682,0
59474,0
6735,0
14598,0
65005,0
1107,0
75093,0
2878,0
22161,0
69188,0
3077,0
48893,0
27003,0
68522,0
65478,0
73511,0
49354,0
35038,0
9056,0
10734,0
687,0
59460,0
54861,0
23321,0
63559,0
57924,0
48786,0
53276,0
40153,0
55742,0
39768,0
10193,0
70927,0
62680,0
54495,0
71271,0
23979,0
66475,0
22511,0
43212,0
3683,0
13000,0
76420,0
72635,0
13921,0
22651,0
50277,0
13806,0
9789,0
44619,0
16610,0
31722,0
27083,0
34055,0
53382,0
61998,0
76410,0
48643,0
35827,1
6234,0
37344,0
29930,0
32426,0
71603,0
57149,0
33139,0
9644,0
13740,0
30652,0
31839,0
74682,0
2087,0
15526,0
29509,0
16332,0
40440,0
44993,0
75834,0
51939,0
45632,0
66141,0
4941,0
73384,0
18187,0
16016,0
60999,0
65537,0
41112,0
44301,0
33629,0
17610,0
72772,0
36063,0
75486,0
28149,0
46144,1
66731,0
601,0
51723,0
19063,0
70394,0
42018,0
10656,0
16300,0
18209,0
55814,0
23306,0
17877,0
51202,0
28503,0
64037,0
47358,0
65276,0
58895,0
32540,0
30428,0
12149,0
32755,0
38299,0
13469,0
18399,0
19041,0
30862,0
5309,0
27955,0
65293,0
47982,0
9647,0
40087,0
12953,0
28791,0
40359,0
6881,0
39253,0
42641,0
68706,0
9043,0
51497,0
16834,0
47243,0
61562,0
14954,0
29182,0
5900,0
12203,0
28752,0
14867,0
54584,0
56509,0
15091,0
62766,0
65227,0
16651,0
7010,0
53332,0
5679,0
1875,0
25734,0
72430,0
11222,0
1578,0
21203,0
25410,0
31333,0
28664,0
29051,0
48407,0
24960,0
67047,0
51959,0
44811,0
59110,0
68026,0
31253,0
3560,0
37527,0
41280,0
15967,0
53802,0
51440,0
32874,0
35233,0
16790,0
46952,0
14207,0
72810,0
720,0
2600,0
11531,0
61419,0
16295,0
518,0
9118,0
62846,0
50150,0
49833,0
1046,0
31280,0
72154,0
39669,0
55452,0
12599,0
22289,0
13993,0
1525,0
50452,0
20539,0
49604,0
75400,0
41108,0
