userId,movieId,rating
239,48394,0.5
517,2683,0.5
307,4749,0.5
298,68073,0.5
50,175485,0.5
20,5504,0.5
83,6874,0.5
310,6548,0.5
22,5015,0.5
22,51540,0.5
249,59014,0.5
477,542,0.5
474,2796,0.5
298,8907,0.5
111,1407,0.5
328,3793,0.5
230,1883,0.5
298,68793,0.5
153,122892,0.5
78,27904,0.5
608,4679,0.5
177,2389,0.5
413,4816,0.5
506,45447,0.5
21,3000,0.5
187,2701,0.5
608,2081,0.5
414,8666,0.5
418,2054,0.5
480,5055,0.5
298,70641,0.5
307,6250,0.5
21,52730,0.5
330,435,0.5
438,43928,0.5
22,53519,0.5
111,104644,0.5
594,8521,0.5
406,2100,0.5
307,3273,0.5
594,4517,0.5
298,87485,0.5
543,59900,0.5
111,6957,0.5
182,4735,0.5
184,175475,0.5
298,85367,0.5
10,97024,0.5
393,76251,0.5
600,8644,0.5
580,1250,0.5
382,70946,0.5
41,3916,0.5
393,91658,0.5
127,68954,0.5
517,88744,0.5
182,2722,0.5
600,8665,0.5
308,1203,0.5
329,1732,0.5
567,6157,0.5
177,5048,0.5
153,153,0.5
418,648,0.5
153,86880,0.5
298,6535,0.5
219,546,0.5
387,432,0.5
477,6482,0.5
322,2997,0.5
153,72378,0.5
298,653,0.5
307,1431,0.5
567,82684,0.5
517,59725,0.5
580,1260,0.5
358,65350,0.5
329,4262,0.5
307,5943,0.5
610,145951,0.5
153,175303,0.5
428,4643,0.5
477,4270,0.5
182,1584,0.5
416,4886,0.5
153,106916,0.5
594,799,0.5
489,172,0.5
182,5313,0.5
298,80166,0.5
393,59369,0.5
298,7257,0.5
517,7669,0.5
567,79091,0.5
517,6550,0.5
139,106782,0.5
328,899,0.5
608,546,0.5
608,6827,0.5
298,68554,0.5
438,4248,0.5
382,5501,0.5
22,3949,0.5
539,31878,0.5
111,158872,0.5
477,4128,0.5
21,138186,0.5
249,57532,0.5
7,6534,0.5
41,122904,0.5
580,6643,0.5
517,3996,0.5
567,32892,0.5
239,61350,0.5
448,125916,0.5
517,45720,0.5
298,45732,0.5
298,2672,0.5
365,5679,0.5
599,104017,0.5
22,59315,0.5
578,79879,0.5
599,88,0.5
567,26171,0.5
489,8373,0.5
599,54274,0.5
567,60514,0.5
390,1091,0.5
287,1972,0.5
594,6639,0.5
442,3107,0.5
448,8137,0.5
600,5945,0.5
298,886,0.5
462,2571,0.5
594,7883,0.5
89,946,0.5
461,480,0.5
448,4051,0.5
543,35836,0.5
567,109897,0.5
599,136297,0.5
301,2617,0.5
418,1552,0.5
365,93270,0.5
573,2720,0.5
259,786,0.5
21,119141,0.5
307,27434,0.5
495,3157,0.5
298,79553,0.5
594,7564,0.5
298,138798,0.5
298,74452,0.5
22,69122,0.5
51,2683,0.5
599,43928,0.5
462,500,0.5
175,39427,0.5
167,784,0.5
608,3176,0.5
159,3949,0.5
477,1556,0.5
600,39444,1.0
462,2369,1.0
575,2566,1.0
414,4985,1.0
259,368,1.0
572,2013,1.0
567,72998,1.0
288,3623,1.0
153,64034,1.0
68,2011,1.0
4,2763,1.0
274,6763,1.0
567,101025,1.0
